Date,Close/Last,Volume,Open,High,Low
11/13/2019,$279.4,443748,$276.99,$280.38,$276.01
11/12/2019,$277.88,528075,$281.43,$281.73,$276.43
11/11/2019,$280.69,667310,$279.76,$282.92,$278.35
11/08/2019,$280.66,671387,$282.68,$287.18,$278.66
11/07/2019,$282.68,855203,$279.16,$283.47,$277.62
11/06/2019,$277.82,545173,$276.83,$278.96,$273.33
11/05/2019,$276.31,751903,$266.98,$276.75,$265.51
11/04/2019,$269.29,835980,$268.06,$270.72,$265.01
11/01/2019,$269.26,535464,$272.93,$274.75,$268.48
10/31/2019,$271.62,733957,$271.67,$275.55,$268.09
10/30/2019,$270.9,705117,$263.32,$271.99,$263.32
10/29/2019,$263.18,1160501,$267.45,$267.67,$262.258
10/28/2019,$269.46,629718,$272.36,$274.2,$268.73
10/25/2019,$271.75,1445717,$263.03,$276.57,$263.03
10/24/2019,$263.6,852589,$256.65,$264.1,$255.77
10/23/2019,$256,622996,$258.74,$259.62,$255.46
10/22/2019,$258.94,343380,$257.27,$259.4674,$255.38
10/21/2019,$257.52,507543,$256.61,$259.84,$255.67
10/18/2019,$255.7,610106,$257.45,$258.4,$254.23
10/17/2019,$256.45,516778,$256.12,$259.96,$255.78
10/16/2019,$255.96,527707,$254.89,$257.61,$253.08
10/15/2019,$255.73,683624,$253.22,$257.23,$251.8
10/14/2019,$252.2,542599,$257.78,$257.99,$251.16
10/11/2019,$257.79,893543,$256.12,$259.1,$252.5
10/10/2019,$254.77,1064785,$248.43,$256.12,$247.5
10/09/2019,$248.19,1911005,$251.51,$255.55,$248.07
10/08/2019,$253.48,6541316,$230.5,$258,$227.5
10/07/2019,$242.21,2023823,$242.29,$247.215,$241.4
10/04/2019,$242.13,911090,$247.94,$249,$241.3
10/03/2019,$243.35,677167,$240.16,$243.89,$240.16
10/02/2019,$241.75,1000235,$244,$245.75,$241.3
10/01/2019,$245.77,594352,$245.13,$246.44,$243.24
09/30/2019,$244.59,772410,$240.56,$244.88,$240.5
09/27/2019,$240.46,396248,$238.51,$240.955,$238.51
09/26/2019,$239.46,613104,$240.95,$240.95,$237.12
09/25/2019,$241.45,840751,$242.66,$243.715,$239.81
09/24/2019,$242.97,831988,$247.35,$248.214,$242.53
09/23/2019,$246.26,802497,$247.32,$248.11,$245.535
09/20/2019,$247.62,736086,$248.13,$248.8,$245.81
09/19/2019,$247.01,465183,$244.38,$247.7,$243.1
09/18/2019,$245,500165,$244.15,$245.21,$242.485
09/17/2019,$243.54,662610,$243.85,$245.2,$237.66
09/16/2019,$244.79,1064701,$245.54,$246.47,$243.08
09/13/2019,$245.05,740777,$247.1,$247.7,$243.73
09/12/2019,$246.79,735814,$248.04,$249.14,$245.87
09/11/2019,$249.09,749282,$243.6,$249.39,$242.12
09/10/2019,$243.57,666784,$239.23,$243.58,$231.85
09/09/2019,$239.2,766897,$238.14,$241.16,$235.87
09/06/2019,$237.35,1057587,$245.11,$246.325,$236.42
09/05/2019,$244.83,1116480,$241.56,$245.88,$240.74
09/04/2019,$239.06,1667630,$228.24,$241.19,$228
09/03/2019,$226.87,1225091,$224.57,$228.835,$223.4
